2M++,2M++,"Cosmicflows-3 Distances","Cosmicflows-3 Distances","Cosmicflows-3 Distances","Cosmicflows-3 Distances"
pgc,Ks,Vcmb,Dist,Nd,RAJ,DeJ
%7s,%5.2f,%5d,%6.2f,%1d,%8s,%9s
---,mag,km/s,Mpc,,hms,damas
"The Catalogue of Principal Galaxies (PGC) Number","Apparent Ks 20 mag/as^2 isophote magnitude adjusted for cosmological surface brightness dimming, extinction, filter redshift response, and stellar evolution, as defined by Lavaux and Hudson","Velocity in Cosmic Microwave Background frame","Luminosity distance (weighted average if more than one source)","Number of distance sources","Right Ascension (J2000)","Declination (J2000)"
129032,10.93,14093,,,,
129034,12.09,11753,,,,
129041,11.92,6706,,,,
129045,11.51,22560,,,,
129047,11.45,10139,111.17,1,215936.9,-561227
129049,12.38,30766,,,,
129050,11.56,15628,172.19,1,215920.5,-562605
129055,12.14,6526,,,,
129058,11.49,11991,,,,
129059,12.27,11726,167.49,1,214939.1,-564117
129062,11.23,11857,177.01,1,214830.7,-570325
129065,11.73,13988,,,,
129068,12.20,16752,,,,
129072,11.40,10370,,,,
129076,11.35,16590,,,,
129080,12.08,30386,,,,
129082,12.23,21613,,,,
129085,11.63,13444,,,,
129086,11.71,13987,,,,
129088,12.42,13298,,,,
129092,12.18,21854,,,,
129096,12.28,39820,,,,
129098,12.40,10634,,,,
129099,11.45,13327,,,,
129100,12.21,10723,,,,
129101,11.90,13635,,,,
129102,12.26,13887,,,,
129103,11.75,12550,,,,
129109,12.09,14266,190.55,1,224154.4,-570908
129111,12.33,13756,,,,
129112,12.16,20696,,,,
129115,12.22,23377,,,,
129116,11.66,19627,,,,
129118,12.01,10706,,,,
129121,11.71,22942,,,,
129123,11.47,13643,,,,
129124,11.72,14022,,,,
129127,11.10,13626,171.40,1,232000.0,-534032
129130,11.79,13605,200.45,1,231323.5,-534426
129132,12.30,13197,,,,
129138,12.43,23473,,,,
129140,11.45,9722,157.04,1,233311.7,-525944
129141,12.28,16225,,,,
129146,11.81,21147,,,,
129150,12.22,10764,,,,
129151,12.12,20754,,,,
129155,12.31,10428,,,,
129157,11.66,7981,,,,
129159,12.31,17991,,,,
129160,12.46,17195,,,,
129161,12.17,9965,,,,
129163,11.96,21346,,,,
129167,11.64,8131,,,,
129168,12.10,18099,,,,
129176,11.82,14775,,,,
129177,11.07,10196,,,,
129183,12.45,16185,,,,
129184,12.44,15009,291.07,1,004713.9,-481603
129185,11.98,14736,230.14,1,004634.5,-484317
129186,12.24,14610,261.82,1,004604.7,-481248
129187,11.46,9658,130.62,1,004428.1,-475036
129193,12.47,22318,,,,
129196,12.30,10403,,,,
129202,11.79,26851,,,,
129204,12.08,17993,,,,
129206,11.71,8479,,,,
129208,12.24,18007,,,,
129217,11.87,21154,,,,
129224,11.74,12850,195.88,1,002012.8,-494032
129225,12.06,21377,,,,
129226,11.85,8026,115.88,1,004640.3,-520638
129232,11.87,14092,,,,
129233,12.30,8643,,,,
129236,12.47,9978,,,,
129237,12.33,9320,,,,
129238,11.69,3151,,,,
129239,12.45,21513,,,,
129241,12.33,22340,,,,
129243,11.94,16397,,,,
129248,11.50,8407,,,,
129249,12.44,16189,,,,
129250,11.99,9375,,,,
129257,12.28,16944,,,,
129264,11.65,9008,116.95,1,010353.7,-492214
129265,12.01,8963,,,,
129268,12.06,18467,,,,
129272,12.43,18568,,,,
129274,12.04,18065,,,,
129276,12.21,14306,,,,
129277,12.37,20995,,,,
129284,12.37,15286,,,,
129285,12.21,18555,,,,
129287,11.93,16069,172.98,1,010707.3,-514513
129288,11.88,16048,244.34,1,010653.1,-514746
129291,12.08,18407,,,,
129292,12.47,23033,,,,
129293,12.24,15962,232.27,1,010209.7,-511912
129300,11.54,7305,,,,
129307,12.44,14498,,,,
129309,12.43,14223,,,,
129310,12.09,19061,,,,
129311,12.22,6810,,,,
129313,11.45,3495,,,,
129315,12.42,8992,,,,
129316,12.10,8990,,,,
129323,12.43,14648,,,,
129324,12.01,14927,,,,
129326,11.81,15204,,,,
129328,11.79,15980,,,,
129329,12.34,16988,,,,
129330,12.42,16593,,,,
129332,11.71,16305,,,,
129334,12.26,16177,304.79,1,013108.4,-511356
129338,11.63,8791,,,,
129342,12.12,13316,,,,
129349,11.27,8941,,,,
129350,10.85,8769,76.56,1,021208.9,-513601
129351,11.33,9200,,,,
129353,12.00,15127,,,,
129354,11.94,5441,,,,
129355,11.22,14501,,,,
129357,12.20,14898,,,,
129359,11.81,14332,,,,
129360,12.22,16884,,,,
129361,12.21,14853,,,,
129368,12.19,6864,,,,
129369,12.25,19337,,,,
129370,12.03,19767,,,,
129371,12.42,18858,,,,
129375,12.16,18848,,,,
129381,12.23,19508,,,,
129384,12.32,24049,,,,
129385,,,334.19,1,023137.9,-504447
129386,11.99,17361,,,,
129388,11.44,6301,,,,
129391,12.24,22502,,,,
129393,12.22,14032,254.68,1,022705.1,-511745
129394,11.28,9340,,,,
129396,12.01,18395,,,,
129397,12.46,18969,,,,
129400,12.19,24691,,,,
129402,11.73,12369,114.29,1,030057.1,-482948
129403,12.21,14978,,,,
129408,12.23,18300,,,,
129410,,,169.04,1,031227.4,-502055
129412,11.81,17793,,,,
129413,12.26,18899,,,,
129414,12.07,18342,,,,
129419,12.41,11051,,,,
129421,12.46,14793,,,,
129422,12.30,18564,,,,
129424,12.33,22267,,,,
129432,12.32,18697,,,,
129433,12.09,13998,143.88,1,030821.4,-514621
129435,12.37,21545,,,,
129440,11.69,21815,,,,
129442,12.06,18714,,,,
129448,12.46,22252,,,,
129454,12.33,11587,,,,
129455,11.77,11380,,,,
129457,12.31,17771,,,,
129461,12.44,18743,,,,
129462,12.44,18743,,,,
129464,12.45,19691,,,,
129466,12.36,11674,,,,
129467,11.23,11454,,,,
129470,12.36,10308,,,,
129473,12.40,25565,,,,
129475,11.85,10937,153.46,1,033607.4,-520151
129476,12.04,8985,,,,
129479,12.19,18278,,,,
129480,12.29,18459,,,,
129484,12.12,13980,272.90,1,031842.6,-521741
129526,12.22,17300,,,,
129531,11.98,11093,,,,
129534,12.29,18369,,,,
129535,12.13,24746,,,,
129536,11.82,10263,149.97,1,035824.6,-520827
129538,,,152.05,1,035757.6,-521517
129540,11.31,10905,,,,
129547,11.31,14294,,,,
129549,11.99,15586,,,,
129552,12.03,15783,,,,
129553,11.54,21612,,,,
129556,12.39,22682,,,,
129583,12.07,15901,,,,
129585,11.77,11066,,,,
129604,11.30,11238,,,,
129623,11.53,14046,,,,
129638,12.41,16316,,,,
129652,12.26,10815,,,,
129653,11.98,10824,,,,
129655,11.19,10680,,,,
129656,11.90,12485,,,,
129658,11.50,12652,,,,
129659,12.11,12719,,,,
129670,11.53,5656,,,,
129672,11.51,6634,,,,
129674,12.29,8650,,,,
129679,11.84,7251,,,,
129682,12.49,4977,,,,
129687,11.79,4885,103.75,1,210153.4,-482533
129688,11.79,5400,,,,
129689,11.87,9311,,,,
129690,12.23,10777,,,,
129691,12.41,5153,,,,
129695,12.50,5140,,,,
129699,11.51,15863,,,,
129703,12.37,13252,133.66,1,211117.5,-504941
129706,12.45,22253,,,,
129708,12.15,13957,200.45,1,210707.9,-502018
129709,12.37,14418,,,,
129713,12.49,7471,,,,
129714,12.06,7054,112.20,1,210324.2,-492957
129716,11.39,7280,97.72,1,210149.8,-493324
129720,12.18,15948,210.86,1,205700.1,-492458
129723,12.13,20566,,,,
129726,11.72,14615,,,,
129727,12.14,19435,,,,
129730,12.33,14788,216.77,1,211804.1,-514339
129731,12.44,14937,300.61,1,211416.3,-514722
129738,12.02,9906,,,,
129741,11.66,15006,211.84,1,210508.1,-515009
129742,11.76,9323,,,,
129743,11.82,15342,223.87,1,210336.3,-514133
129744,11.66,13874,195.88,1,210320.0,-513251
129746,11.40,14462,163.68,1,205935.8,-515918
129749,11.75,14161,196.79,1,205631.6,-520832
129750,,,376.70,1,205554.9,-515436
129753,12.49,9228,,,,
129754,12.31,9228,,,,
129755,12.34,9511,,,,
129756,12.37,14083,134.28,1,204921.7,-512642
129759,12.15,16654,,,,
129761,11.89,5208,,,,
129769,12.01,8864,98.63,1,213258.6,-480300
129771,12.36,22557,,,,
129773,12.49,22272,,,,
129777,12.34,15916,221.82,1,212256.5,-481851
129778,12.11,13931,214.78,1,212002.7,-475946
129783,12.39,16876,,,,
129784,12.47,16685,,,,
129788,12.20,20525,,,,
129793,12.31,22365,,,,
129795,12.39,16027,236.59,1,213922.8,-504329
129799,12.05,16483,,,,
129800,11.96,21993,,,,
129801,12.41,21451,,,,
129803,12.18,8923,,,,
129805,11.91,21861,,,,
129806,12.23,22290,,,,
129807,12.24,21861,,,,
129808,11.71,8823,,,,
129812,12.41,9570,,,,
129814,12.04,15595,177.01,1,212250.6,-494550
129815,12.44,15403,314.78,1,212238.8,-502639
129816,11.91,15635,149.97,1,212231.0,-495255
129818,12.48,15969,,,,
129823,11.73,18115,,,,
129826,12.26,15874,,,,
129829,12.21,15790,,,,
129831,12.00,19112,,,,
129839,12.29,15890,204.17,1,212916.8,-511902
129840,12.19,15757,,,,
129843,12.16,21518,,,,
129845,,,177.01,1,211951.7,-513108
129849,11.73,10284,166.72,1,221711.2,-482944
129855,11.52,7387,,,,
129856,12.06,17055,,,,
129860,11.82,10536,195.88,1,220422.9,-483745
129868,12.30,10540,,,,
129869,11.64,17057,,,,
129871,12.06,16296,,,,
129874,11.54,2533,,,,
129876,11.56,10659,154.17,1,220440.5,-501504
129877,12.17,22640,,,,
129883,12.05,16326,,,,
129884,11.64,19905,,,,
129885,12.16,22442,,,,
129886,12.35,18532,,,,
129887,12.49,18361,,,,
129896,11.76,17768,,,,
129897,11.97,17685,,,,
129900,12.09,15952,,,,
129904,11.20,18711,,,,
129906,11.38,9379,,,,
129908,12.39,20997,,,,
129909,11.52,9944,,,,
129910,11.81,10362,,,,
129912,12.33,21161,,,,
129918,11.84,10102,145.88,1,222135.9,-484501
129921,12.46,9899,,,,
129925,11.69,27258,,,,
129926,12.13,7258,,,,
129927,12.48,6992,,,,
129929,11.58,21281,,,,
129930,12.14,15680,193.20,1,222636.2,-503927
129934,12.45,22382,,,,
129936,11.49,8411,,,,
129938,11.93,16882,,,,
129943,11.47,15054,127.64,1,231554.2,-482113
129945,11.11,14738,,,,
129949,12.13,9837,,,,
129950,11.72,9529,,,,
129951,11.35,12487,,,,
129953,12.15,14568,,,,
129955,11.79,14099,,,,
129956,11.82,14090,,,,
129962,12.34,16412,,,,
129966,11.58,9937,,,,
129969,12.22,16281,,,,
129971,12.32,14175,,,,
129973,12.25,18655,,,,
129974,11.24,14377,,,,
129978,11.73,12879,,,,
129981,12.35,13875,,,,
129997,11.09,25316,,,,
129998,11.83,22141,,,,
130002,12.11,13672,,,,
130006,12.48,11578,,,,
130010,11.81,14569,,,,
130012,12.05,8726,,,,
130013,11.75,12213,,,,
130015,11.68,13697,,,,
130016,11.32,11575,,,,
130018,11.82,11418,,,,
130019,12.01,12101,,,,
130025,12.17,9493,,,,
130026,11.73,10807,,,,
130028,12.45,27527,,,,
130035,11.93,8856,,,,
130036,12.22,15870,239.88,1,003248.9,-421706
130037,11.73,9702,141.25,1,003229.2,-422726
130039,11.88,15705,,,,
130040,11.30,15549,,,,
130041,11.17,10268,,,,
130042,12.11,16080,,,,
130043,11.77,15717,,,,
130046,12.26,18331,,,,
130053,12.27,10824,259.42,1,003547.9,-454021
130054,11.78,11064,,,,
130058,12.17,7452,,,,
130061,11.76,14462,202.30,1,004308.1,-462154
130062,11.93,7455,,,,
130064,12.11,16604,,,,
130066,,,304.79,1,010041.0,-424503
130067,11.98,18352,,,,
130070,11.85,16131,,,,
130073,12.30,15181,,,,
130074,12.49,6832,,,,
130078,11.78,7144,,,,
130081,11.94,9755,166.72,1,005920.0,-441940
130086,12.20,16156,,,,
130088,11.72,8646,,,,
130092,,,115.35,1,010915.8,-461823
130095,12.33,19491,,,,
130098,12.33,8554,191.43,1,005655.0,-465830
130099,11.47,8570,128.23,1,005405.6,-463700
130100,11.81,16036,,,,
130102,12.46,15990,192.31,1,005109.3,-463757
130103,11.11,9746,85.11,1,005109.2,-460634
130104,11.77,15630,,,,
130105,11.40,15301,,,,
130110,12.19,16458,,,,
130111,12.36,18808,,,,
130112,12.33,14141,,,,
130113,11.55,9389,116.95,1,012901.6,-433723
130115,12.09,27428,,,,
130116,12.32,14111,155.60,1,012048.1,-430459
130118,12.24,16026,,,,
130119,11.46,9507,,,,
130122,12.34,6113,,,,
130123,11.84,17902,,,,
130124,12.40,17964,,,,
130125,12.50,15239,,,,
130126,11.99,15175,152.05,1,012719.2,-440353
130127,,,358.10,1,012615.8,-453728
130133,11.93,9180,130.62,1,011528.1,-444610
130134,11.88,7446,108.14,1,011313.0,-444539
130136,11.77,6561,,,,
130141,11.22,6307,,,,
130142,12.39,6423,,,,
130144,12.24,8769,,,,
130145,12.03,15410,239.88,1,011704.2,-465919
130147,11.68,7577,,,,
130149,11.82,15576,,,,
130152,12.31,16616,,,,
130161,12.37,19669,,,,
130162,12.48,10375,,,,
130165,11.52,5829,,,,
130169,12.08,18606,,,,
130171,11.86,18707,,,,
130174,11.85,14145,,,,
130176,12.16,19289,,,,
130190,12.02,5260,,,,
130199,12.15,11023,,,,
130208,12.15,12947,,,,
130210,12.02,18999,,,,
130212,12.08,19214,,,,
130214,12.20,19346,,,,
130215,11.87,13158,,,,
130223,10.90,8865,101.39,1,025558.4,-453357
130225,12.33,15202,226.99,1,024826.2,-453801
130227,12.34,12527,,,,
130229,12.30,13976,,,,
130233,12.40,26246,,,,
130234,12.45,15041,,,,
130240,12.34,11829,,,,
130243,12.46,16462,,,,
130246,12.11,11821,,,,
130248,12.47,9191,,,,
130250,12.01,19809,,,,
130252,11.92,20360,,,,
130254,12.43,22975,,,,
130255,12.09,18695,,,,
130256,12.40,21671,,,,
130263,12.47,21884,,,,
130268,11.90,21089,,,,
130272,11.77,20155,,,,
130273,11.45,21216,,,,
130274,11.49,19910,,,,
130276,12.45,19969,,,,
130279,12.37,16155,,,,
130284,12.03,16633,,,,
130286,12.35,21315,,,,
130287,11.51,18291,,,,
130291,12.46,21256,,,,
130302,11.85,20851,,,,
130305,11.36,20371,,,,
130306,12.02,18710,,,,
130308,11.76,21060,,,,
130316,12.08,22420,,,,
130317,12.09,15736,,,,
130318,11.69,15122,,,,
130323,12.32,15942,,,,
130325,12.22,16116,,,,
130328,12.08,22754,,,,
130329,12.26,12915,,,,
130336,12.20,17558,,,,
130342,12.35,15306,,,,
130346,12.35,14464,,,,
130366,12.18,13912,,,,
130368,12.19,17507,,,,
130372,11.93,16034,191.43,1,044620.9,-434855
130375,12.00,11195,,,,
130376,11.31,14236,194.09,1,043754.7,-425854
130378,12.46,10850,,,,
130379,12.12,10443,,,,
130381,11.76,4439,,,,
130384,11.99,17329,,,,
130386,12.28,12826,228.03,1,045304.5,-452448
130390,12.26,13023,,,,
130393,12.05,15939,,,,
130398,12.26,12662,,,,
130399,11.77,14194,137.40,1,044314.7,-443452
130400,11.31,12868,,,,
130403,11.87,11999,216.77,1,044107.7,-441547
130404,12.34,20659,,,,
130406,11.30,11828,,,,
130408,11.38,9515,,,,
130424,12.08,6332,,,,
130425,12.19,10216,,,,
130426,11.98,22415,,,,
130433,12.38,13462,,,,
130437,12.21,14234,,,,
130451,12.19,14803,,,,
130458,12.11,12373,,,,
130459,12.28,9995,,,,
130461,12.47,15633,,,,
130466,12.38,13223,,,,
130474,11.92,13706,209.89,1,045544.2,-424334
130476,11.23,10418,139.32,1,052311.6,-453403
130477,12.30,14647,,,,
130478,11.58,10568,131.22,1,052014.6,-455639
130479,12.40,22270,,,,
130480,12.49,12591,,,,
130481,12.19,12504,127.06,1,051532.7,-442622
130482,12.13,15491,215.77,1,051517.7,-443637
130485,11.84,22762,,,,
130486,11.56,22414,,,,
130492,,,250.03,1,050130.8,-443941
130495,11.90,14766,216.77,1,050047.4,-455225
130497,11.75,10214,,,,
130499,12.44,12973,145.21,1,045859.8,-455641
130501,12.16,10333,,,,
130503,12.13,15776,,,,
130504,12.38,10574,,,,
130507,11.82,14142,205.12,1,050806.3,-472326
130508,10.82,12837,122.46,1,050724.0,-461820
130509,12.03,13991,,,,
130511,11.89,10270,162.18,1,050557.8,-464736
130512,12.20,13773,,,,
130513,12.50,11388,,,,
130515,12.40,13735,,,,
130516,12.31,13581,,,,
130517,11.07,13756,,,,
130518,11.37,13793,,,,
130519,11.91,14050,,,,
130522,12.42,11690,,,,
130523,11.52,13436,177.01,1,045833.4,-462443
130525,12.00,13305,,,,
130526,11.91,22143,,,,
130531,12.43,13362,,,,
130537,12.41,12139,,,,
130538,11.53,8930,,,,
130540,12.34,27886,,,,
130542,11.12,4888,,,,
130547,12.15,14448,,,,
130551,11.97,9061,,,,
130552,12.26,14510,,,,
130553,11.44,4946,71.78,1,210138.1,-425259
130555,12.16,4967,,,,
130557,11.80,14922,207.97,1,205838.1,-431637
130559,12.19,15198,146.55,1,205553.4,-434848
130560,11.77,9408,108.14,1,205530.6,-432745
130561,11.37,9262,,,,
130562,12.40,14670,169.04,1,205439.7,-433043
130565,12.49,14522,,,,
130566,11.50,12668,172.98,1,205401.8,-424240
130568,12.47,15278,,,,
130569,11.46,14793,232.27,1,204950.3,-432435
130572,10.80,4764,,,,
130574,,,221.82,1,211247.8,-443727
130579,11.84,8412,,,,
130583,11.37,14217,152.76,1,210647.2,-442346
130584,11.23,9506,87.50,1,210652.2,-445410
130585,11.70,9126,,,,
130586,11.10,8357,128.82,1,210514.6,-441445
130588,10.90,8584,,,,
130589,12.47,20337,,,,
130592,11.90,14693,247.74,1,205848.6,-452006
130596,12.08,9221,,,,
130600,11.92,15626,171.40,1,211600.9,-464030
130601,12.02,9737,,,,
130611,,,358.10,1,210342.4,-464501
130613,,,306.20,1,210018.4,-461545
130614,12.45,14644,211.84,1,205604.4,-460504
130616,12.20,14681,311.89,1,205414.4,-464636
130617,12.12,25571,,,,
130621,12.31,19017,,,,
130622,12.08,16016,,,,
130623,12.19,19000,,,,
130624,11.85,18597,,,,
130625,12.19,19058,,,,
130630,12.30,5272,,,,
130631,12.32,13978,204.17,1,212528.8,-423700
130632,12.32,4875,,,,
130636,11.83,11670,123.59,1,211956.9,-432716
130644,12.30,21154,,,,
130648,12.11,20015,,,,
130650,12.38,19882,,,,
130652,12.25,17236,,,,
130655,11.55,19763,,,,
130657,11.75,11395,,,,
130658,11.47,11095,171.40,1,212722.6,-452254
130663,12.09,19451,,,,
130670,11.77,9322,,,,
130672,12.09,20207,,,,
130673,11.97,6403,,,,
130679,12.31,17324,,,,
130680,12.10,13803,,,,
130690,11.92,9856,,,,
130695,12.05,18063,,,,
130696,12.31,21022,,,,
130698,11.91,12690,,,,
130699,12.16,11235,144.54,1,221005.1,-445918
130701,11.79,12508,124.17,1,220841.3,-435147
130702,11.60,12508,,,,
130704,11.76,8633,,,,
130707,11.93,15939,,,,
130710,11.08,9802,85.11,1,215648.0,-445001
130711,12.15,17236,,,,
130713,11.61,9985,,,,
130717,11.97,15070,121.34,1,215215.5,-440319
130722,12.21,17709,,,,
130724,11.79,16888,,,,
130725,12.17,10745,,,,
130726,10.57,1578,,,,
130727,12.44,16416,,,,
130728,12.03,21659,,,,
130729,11.12,9956,,,,
130730,11.58,9799,146.55,1,215945.5,-465335
130731,10.64,9955,,,,
130733,12.38,15884,220.80,1,215558.8,-463539
130736,12.27,15997,,,,
130741,12.40,18117,,,,
130744,12.15,18904,,,,
130745,12.25,9086,,,,
130749,11.56,13742,,,,
130752,12.07,12966,,,,
130755,12.10,27677,,,,
130759,11.88,24176,,,,
130761,12.01,12880,,,,
130763,12.02,16963,,,,
130770,12.13,21650,,,,
130773,12.41,9617,,,,
130778,11.80,15110,,,,
130780,11.66,10044,,,,
130781,11.78,15953,,,,
130784,12.38,20427,,,,
130785,12.16,20290,,,,
130786,12.26,20508,,,,
130789,12.41,20578,,,,
130790,12.26,20550,,,,
130792,11.83,25892,,,,
130798,12.32,20077,,,,
130799,11.77,15733,,,,
130803,12.28,9868,142.56,1,224713.9,-450128
130807,11.49,5598,,,,
130811,12.25,14902,,,,
130812,11.19,14516,,,,
130814,12.09,20230,,,,
130816,12.03,9639,,,,
130817,11.77,23280,,,,
130819,11.65,15126,,,,
130820,,,194.98,1,224658.5,-455622
130822,12.43,27092,,,,
130827,12.38,14817,,,,
130833,12.05,29428,,,,
130835,12.03,9543,,,,
130837,12.14,9750,102.80,1,231348.2,-431401
130838,12.20,16186,,,,
130846,12.34,13759,,,,
130852,12.49,14956,,,,
130858,12.24,16281,,,,
130861,12.45,18168,,,,
130868,11.44,16541,,,,
130869,11.44,8953,,,,
130870,12.36,8953,,,,
130875,11.39,14652,,,,
130876,12.00,16771,,,,
130880,12.36,16334,,,,
130882,12.43,14923,,,,
130887,11.37,14721,,,,
130888,11.95,13256,,,,
130890,12.44,13124,,,,
130893,12.25,14976,235.50,1,235713.5,-384141
130897,11.50,17610,,,,
130900,11.95,12741,,,,
130901,12.44,17019,,,,
130911,12.37,13283,,,,
130912,12.12,17129,,,,
130915,12.32,17846,,,,
130916,12.34,15556,,,,
130917,12.45,15286,,,,
130918,11.86,15091,,,,
130919,11.87,15036,,,,
130921,12.22,12488,,,,
130922,12.46,15140,,,,
130923,12.05,16039,,,,
130926,12.24,12205,,,,
130928,12.43,19769,,,,
130931,12.06,11950,162.93,1,001334.0,-413622
130936,11.81,14658,,,,
130937,12.09,14562,,,,
130941,12.13,8626,,,,
130944,12.28,18575,,,,
130948,11.94,8918,116.41,1,003416.2,-375314
130950,,,183.65,1,001852.5,-374024
130953,12.15,14344,,,,
130954,12.12,19642,,,,
130958,12.39,8533,,,,
130960,12.48,14270,,,,
130961,12.29,11200,,,,
130962,11.68,15690,,,,
130966,11.80,11731,,,,
130969,11.57,14339,136.14,1,010706.8,-372848
130970,12.00,18687,,,,
130973,12.35,8923,,,,
130974,11.76,8936,,,,
130975,12.36,9052,,,,
130976,12.24,17119,,,,
130979,12.20,17115,,,,
130980,12.05,14325,,,,
130981,11.79,19119,,,,
130983,11.59,7131,,,,
130984,11.48,13645,206.06,1,010516.3,-385740
130987,11.80,16604,,,,
130989,12.38,5710,,,,
130991,12.14,16432,,,,
130992,12.22,9706,,,,
130993,12.00,6796,,,,
130997,12.15,6925,,,,
131001,11.52,15917,,,,
131004,11.97,15975,270.40,1,004204.5,-420959
131007,11.57,10156,,,,
131009,11.60,6016,,,,
131011,12.00,22534,,,,
131021,12.23,8691,,,,
131022,11.76,5700,,,,
131025,11.70,9829,,,,
131026,12.19,16052,,,,
131027,11.30,15584,,,,
131028,11.77,16688,,,,
131030,12.30,8091,,,,
131037,11.97,9728,,,,
131038,12.31,18075,,,,
131043,12.05,5536,,,,
131050,11.84,8930,,,,
131051,12.26,9542,,,,
131052,12.48,4789,,,,
131053,11.52,8811,,,,
131061,11.94,16172,,,,
131062,12.01,7284,,,,
131063,12.05,21662,,,,
131064,12.01,11018,,,,
131068,11.79,5631,,,,
131072,11.61,22896,,,,
131077,12.19,23218,,,,
131082,12.27,12768,,,,
131086,12.28,26920,,,,
131088,11.72,18250,,,,
131096,12.46,18930,,,,
131106,12.28,16800,,,,
131111,12.01,5463,,,,
131114,12.10,18317,,,,
131117,12.08,12331,,,,
131118,12.32,18703,,,,
131120,11.95,7661,,,,
131124,12.44,18330,,,,
131128,12.33,20725,,,,
131133,12.42,19467,,,,
131144,11.93,11306,128.23,1,030105.4,-385519
131146,12.21,11139,,,,
131148,12.07,7560,,,,
131152,,,217.77,1,031412.6,-391118
131153,12.02,24444,,,,
131162,11.82,19715,,,,
131164,12.37,13839,,,,
131166,11.85,23542,,,,
131171,11.64,9230,169.04,1,030511.8,-413403
131177,12.19,13730,198.61,1,025705.4,-420159
131178,11.70,13436,255.86,1,025644.7,-420719
131182,12.40,13672,,,,
131184,12.34,18531,,,,
131187,11.86,18590,,,,
131190,12.08,9223,,,,
131191,11.94,16688,,,,
131193,11.88,12297,,,,
131199,12.31,12132,174.58,1,033616.8,-404342
131203,12.00,14639,199.53,1,033105.1,-393207
131207,11.72,18788,,,,
131208,11.14,8879,,,,
131209,12.06,16284,,,,
131212,11.45,1618,,,,
131213,11.87,18452,,,,
131215,11.94,14744,,,,
131217,11.63,14727,,,,
131218,12.24,22397,,,,
131219,12.24,17874,,,,
131220,12.42,19140,,,,
131221,12.44,19094,,,,
131222,11.91,19157,,,,
131225,12.37,19025,,,,
131226,12.02,28015,,,,
131231,12.15,22145,,,,
131244,12.07,19108,,,,
131245,12.29,22298,,,,
131247,12.06,20049,,,,
131252,12.31,17616,,,,
131253,12.33,20134,,,,
131256,12.48,22360,,,,
131257,11.97,17167,,,,
131260,12.09,15906,,,,
131261,12.48,23837,,,,
131268,11.54,16638,,,,
131270,12.34,18223,,,,
131275,12.23,14620,,,,
131279,11.45,12310,,,,
131281,12.37,15410,,,,
131283,11.92,15055,,,,
131285,12.27,14568,,,,
131286,,,413.05,1,041314.2,-375411
131289,12.15,14576,194.09,1,041146.0,-382715
131290,12.49,10138,,,,
131293,11.59,16574,,,,
131294,12.36,16339,,,,
131295,12.01,17037,,,,
131298,12.25,6407,,,,
131299,11.69,14890,205.12,1,041618.4,-391924
131300,11.77,6085,,,,
131301,11.54,15263,,,,
131303,12.17,17906,,,,
131305,11.74,17752,,,,
131306,12.37,17993,,,,
131307,11.84,6413,,,,
131310,11.96,10832,,,,
131311,12.48,6102,,,,
131312,12.30,15164,215.77,1,041851.3,-412509
131313,11.96,16900,,,,
131318,12.45,15917,,,,
131326,11.91,13326,104.23,1,044023.8,-384250
131330,11.75,17736,,,,
131331,12.09,6252,,,,
131333,12.23,13961,,,,
131334,12.42,6228,,,,
131337,12.38,13904,,,,
131338,12.31,16696,,,,
131340,12.02,10113,,,,
131341,12.45,10001,,,,
131342,11.58,14072,,,,
131343,11.82,16110,,,,
131344,11.51,12166,,,,
131356,11.51,14599,126.47,1,043703.1,-400033
131357,12.42,10081,,,,
131360,11.97,10006,,,,
131364,11.99,14003,,,,
131365,12.28,16112,,,,
131367,11.90,10051,,,,
131369,12.11,14045,,,,
131370,12.32,21093,,,,
131374,12.45,15937,,,,
131382,11.52,9995,,,,
131390,12.04,12733,,,,
131392,12.27,15897,,,,
131394,11.72,16347,,,,
131397,11.70,875,,,,
131401,12.40,12705,,,,
131403,11.52,13702,,,,
131404,12.36,15943,,,,
131405,12.32,17316,,,,
131406,11.53,16108,,,,
131409,12.18,15756,,,,
131411,12.35,16262,,,,
131412,12.46,16835,,,,
131413,12.49,24318,,,,
131415,11.88,15501,,,,
131416,12.20,15439,,,,
131421,11.80,15852,,,,
131422,11.37,13006,,,,
131424,12.05,12839,,,,
131425,12.28,12312,,,,
131426,11.37,12961,,,,
131427,12.46,13191,,,,
131428,12.39,13018,,,,
131436,11.96,24181,,,,
131438,11.42,9875,,,,
131439,12.22,15605,257.04,1,051918.3,-414102
131441,11.32,14581,,,,
131442,12.36,26749,,,,
131443,12.39,26951,,,,
131448,11.93,13686,202.30,1,210303.2,-375627
131449,11.74,13140,166.72,1,210214.7,-380014
131450,11.53,13454,,,,
131451,11.44,13749,,,,
131454,12.22,13164,,,,
131457,11.77,12079,,,,
131459,11.64,13291,162.18,1,205202.2,-380600
131460,12.20,11737,,,,
131461,11.75,13474,,,,
131462,11.39,6125,,,,
131464,11.76,14644,,,,
131465,11.42,12114,,,,
131466,11.36,7028,,,,
131467,12.30,6499,,,,
131468,10.87,6626,,,,
131472,11.84,11545,,,,
131473,10.77,6918,,,,
131474,12.08,13559,,,,
131477,11.20,13644,,,,
131482,12.10,12014,,,,
131488,11.85,12395,,,,
131489,10.86,11913,,,,
131490,12.12,11523,,,,
131491,11.64,7676,,,,
